carat,cut,color,clarity,depth,table,x,y,z,Expensive
0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,0
0.72,Ideal,E,SI2,61.7,57.0,5.72,5.78,3.55,0
0.31,Good,G,VVS1,58.0,62.0,4.42,4.47,2.58,0
0.35,Ideal,E,VS1,61.9,56.0,4.51,4.53,2.8,0
0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,0
1.01,Ideal,H,SI1,62.7,56.0,6.37,6.42,4.01,1
1.0,Good,G,VS1,63.6,59.0,6.34,6.3,4.02,1
0.32,Very Good,H,SI2,60.4,59.0,4.39,4.42,2.66,0
0.3,Ideal,G,VVS2,61.8,54.0,4.33,4.34,2.68,0
1.01,Premium,G,VS2,58.1,59.0,6.61,6.53,3.82,1
0.41,Very Good,E,SI1,61.1,62.0,4.76,4.83,2.93,0
1.6,Very Good,H,SI1,63.2,55.0,7.46,7.41,4.7,1
0.43,Very Good,F,SI1,62.9,59.0,4.79,4.84,3.03,0
0.57,Ideal,F,VS1,61.9,56.0,5.3,5.39,3.31,0
0.75,Ideal,I,VS1,59.9,57.0,5.96,5.9,3.56,0
1.02,Good,H,VS1,59.8,63.0,6.54,6.61,3.93,1
1.11,Ideal,H,SI2,62.0,54.0,6.64,6.61,4.11,1
2.01,Premium,H,SI1,60.9,59.0,8.15,8.04,4.93,1
0.54,Ideal,H,VVS1,61.7,57.0,5.24,5.23,3.23,0
0.42,Premium,G,VVS2,61.8,59.0,4.82,4.78,2.9,0
1.7,Very Good,I,VS2,58.5,59.0,7.81,7.89,4.59,1
1.01,Good,D,SI1,61.7,62.0,6.3,6.34,3.9,1
0.42,Ideal,E,VVS1,59.7,56.0,4.88,4.91,2.92,0
1.1,Premium,H,SI2,62.2,58.0,6.69,6.6,4.13,1
0.33,Very Good,G,SI1,59.8,58.0,4.52,4.54,2.71,0
0.3,Ideal,H,VVS2,62.6,55.0,4.25,4.28,2.67,0
1.01,Premium,F,SI2,62.8,57.0,6.31,6.24,3.94,1
1.26,Ideal,F,SI2,62.7,58.0,6.91,6.87,4.32,1
1.52,Premium,H,SI1,62.5,58.0,7.33,7.29,4.57,1
0.7,Good,I,VS2,63.6,58.0,5.57,5.59,3.55,0
1.15,Premium,H,SI1,60.9,57.0,6.8,6.72,4.12,1
0.39,Ideal,F,VS1,62.2,56.0,4.7,4.63,2.9,0
0.56,Good,F,VS1,58.6,62.0,5.3,5.45,3.16,0
1.15,Very Good,J,SI2,63.6,57.0,6.6,6.64,4.21,1
0.7,Ideal,E,VS2,62.5,58.0,5.63,5.67,3.53,0
0.43,Premium,F,SI1,60.5,60.0,4.84,4.88,2.94,0
0.55,Very Good,G,VVS2,57.1,63.0,5.39,5.47,3.1,0
0.7,Good,F,SI2,62.2,59.0,5.62,5.64,3.5,0
1.11,Ideal,J,VS2,61.7,54.0,6.64,6.69,4.11,1
1.01,Very Good,D,VS1,63.1,58.0,6.34,6.3,3.99,1
1.01,Ideal,F,VS2,61.0,56.0,6.44,6.4,3.94,1
1.5,Premium,E,SI2,63.0,59.0,7.24,7.18,4.54,1
0.9,Very Good,I,VS2,62.5,57.0,6.12,6.2,3.85,1
1.18,Premium,I,SI2,60.8,58.0,6.84,6.78,4.14,1
0.61,Very Good,D,SI1,58.5,58.0,5.54,5.64,3.27,0
0.73,Ideal,H,SI1,61.5,55.0,5.79,5.84,3.57,0
1.6,Premium,J,VS1,61.3,59.0,7.52,7.49,4.6,1
0.71,Ideal,G,SI1,61.9,56.0,5.73,5.76,3.55,1
1.02,Very Good,H,SI1,62.8,58.0,6.37,6.43,4.02,1
0.33,Very Good,F,VVS2,62.5,59.0,4.4,4.47,2.77,0
0.51,Ideal,F,VS1,61.7,54.0,5.14,5.17,3.18,0
0.38,Premium,E,VS2,60.3,58.0,4.72,4.67,2.83,0
1.11,Premium,I,SI1,60.6,59.0,6.73,6.66,4.06,1
0.41,Premium,F,SI1,59.8,59.0,4.85,4.82,2.89,0
1.03,Premium,F,VVS1,59.7,60.0,6.63,6.57,3.94,1
1.13,Very Good,H,SI2,62.7,55.0,6.61,6.69,4.17,1
0.31,Ideal,G,VVS2,60.0,58.0,4.38,4.42,2.64,0
1.51,Premium,E,VS2,62.2,59.0,7.36,7.4,4.59,1
0.31,Ideal,D,VVS1,62.3,54.0,4.36,4.4,2.73,0
0.51,Premium,G,VS1,62.9,58.0,5.1,5.05,3.19,0
1.23,Ideal,G,VVS2,62.4,55.0,6.8,6.88,4.27,1
0.7,Ideal,G,VS2,62.1,55.0,5.63,5.61,3.49,0
0.71,Ideal,H,VVS1,60.4,57.0,5.78,5.81,3.5,0
0.76,Very Good,G,SI1,62.6,56.0,5.86,5.9,3.68,0
0.51,Good,G,VS1,63.4,57.0,5.04,5.08,3.21,0
0.82,Ideal,F,SI1,61.7,56.0,6.01,6.06,3.72,1
0.31,Premium,F,IF,61.9,58.0,4.39,4.36,2.71,0
0.77,Very Good,D,VS1,62.4,58.0,5.82,5.87,3.65,1
1.5,Premium,G,SI2,60.7,58.0,7.39,7.33,4.47,1
0.24,Ideal,F,VVS2,61.6,54.0,4.0,4.09,2.49,0
1.01,Very Good,E,VVS1,62.3,56.0,6.41,6.47,4.01,1
0.52,Ideal,G,VS1,61.2,56.0,5.19,5.22,3.18,0
0.32,Premium,H,SI1,62.3,60.0,4.36,4.4,2.73,0
0.41,Ideal,G,VVS2,62.5,55.0,4.76,4.75,2.97,0
0.7,Premium,D,SI1,60.3,60.0,6.31,6.26,3.79,1
0.3,Ideal,G,VVS2,61.1,57.0,4.32,4.35,2.65,0
1.02,Ideal,E,SI1,62.2,57.0,6.41,6.45,4.0,1
0.46,Ideal,F,SI2,61.4,56.0,4.97,5.0,3.06,0
0.35,Premium,D,SI2,62.3,58.0,4.48,4.54,2.81,0
0.3,Ideal,G,VVS1,61.1,57.0,4.32,4.35,2.65,0
0.46,Ideal,J,VS1,62.6,53.9,4.92,4.95,3.09,0
0.76,Premium,D,VS2,60.9,58.0,5.9,5.85,3.58,0
1.01,Premium,G,SI1,59.6,61.0,6.52,6.47,3.87,1
0.23,Very Good,F,VS2,59.4,57.0,4.06,4.09,2.42,0
0.3,Ideal,H,VVS2,61.5,55.0,4.34,4.37,2.68,0
1.1,Premium,J,VS2,61.2,57.0,6.66,6.61,4.06,1
1.26,Ideal,G,VVS1,62.1,57.0,7.01,6.91,4.32,1
0.71,Good,J,VS2,60.6,61.0,5.7,5.79,3.48,0
0.37,Fair,D,IF,61.2,57.0,4.68,4.73,2.88,0
0.7,Premium,G,VS1,62.6,55.0,5.73,5.64,3.56,0
0.77,Premium,D,VS2,61.2,59.0,5.91,5.86,3.6,1
0.29,Very Good,E,VVS2,60.9,57.0,4.29,4.32,2.62,0
1.2,Premium,E,SI2,58.2,59.0,6.98,6.9,4.04,1
0.41,Ideal,G,VS2,61.4,54.0,4.77,4.84,2.95,0
1.56,Ideal,J,VS2,62.4,57.0,7.39,7.46,4.63,1
0.57,Ideal,E,VS2,61.3,57.0,5.29,5.38,3.27,0
0.33,Ideal,E,VS2,61.8,55.0,4.45,4.48,2.76,0
0.31,Ideal,G,VVS1,61.0,57.0,4.38,4.4,2.68,0
0.91,Very Good,G,SI1,63.1,63.0,6.16,6.11,3.87,1
0.31,Very Good,F,SI2,63.0,58.0,4.34,4.36,2.74,0
0.34,Premium,F,SI2,60.0,58.0,4.58,4.55,2.74,0
1.07,Premium,H,VS2,58.9,58.0,6.7,6.65,3.93,1
1.19,Premium,I,SI1,62.2,58.0,6.77,6.73,4.2,1
0.54,Ideal,H,VS1,61.5,56.0,5.24,5.23,3.22,0
0.33,Premium,D,VS2,60.7,58.0,4.46,4.5,2.72,0
0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,0
0.7,Premium,D,SI2,60.4,60.0,5.79,5.74,3.48,0
1.03,Ideal,F,VS2,59.1,55.0,6.6,6.69,3.93,1
0.4,Ideal,H,VVS2,62.1,57.0,4.74,4.69,2.93,0
1.51,Very Good,I,VS1,61.1,61.0,7.32,7.37,4.49,1
1.0,Good,E,VS2,57.4,58.0,6.57,6.61,3.78,1
0.87,Fair,I,VS2,57.3,59.0,6.29,6.44,3.65,1
0.5,Good,D,VS2,63.7,56.0,5.05,5.09,3.23,0
0.4,Premium,D,SI2,60.4,59.0,4.8,4.83,2.91,0
0.7,Ideal,F,SI2,61.9,56.0,5.81,5.85,3.61,0
0.68,Good,F,VS1,60.0,60.8,5.67,5.71,3.41,0
1.5,Ideal,G,VVS2,62.2,55.0,7.33,7.35,4.57,1
0.58,Fair,G,VS2,65.0,56.0,5.23,5.17,3.38,0
1.01,Ideal,F,SI2,60.4,59.0,6.48,6.51,3.92,1
0.94,Very Good,G,VVS1,63.3,57.0,6.21,6.14,3.91,1
0.3,Ideal,G,VS1,61.8,55.0,4.33,4.31,2.67,0
0.35,Very Good,D,SI1,60.1,61.0,4.56,4.59,2.75,0
