Species,Length1,Length2,Length3,Height,Width,Weight
Cypselurus,35.0,38.5,44.1,18.0369,6.3063,920.0
Hirundichthys,10.0,10.5,11.6,1.972,1.16,7.5
Cypselurus,23.9,26.5,31.1,12.3778,4.6961,340.0
Exocoetus,24.0,26.0,29.2,8.8768,4.4968,290.0
Parexocoetus,18.4,20.0,22.4,8.8928,3.2928,150.0
Exocoetus,16.5,18.2,20.3,5.2983,2.8217,69.0
Fodiater,48.3,51.7,55.1,8.9262,6.1712,950.0
Cypselurus,32.0,35.0,40.6,16.3618,6.09,720.0
Cheilopogon,19.0,21.0,22.5,5.9175,3.3075,115.0
Parexocoetus,16.3,17.7,19.8,7.4052,2.673,90.0
Cypselurus,31.5,34.5,39.7,15.5227,5.2801,620.0
Cheilopogon,19.3,21.3,22.8,6.384,3.534,130.0
Cheilopogon,19.0,21.0,22.5,5.6925,3.555,110.0
Cypselurus,30.4,33.0,38.3,14.8604,5.2854,700.0
Cheilopogon,12.5,13.7,14.7,3.528,1.9992,32.0
Hirundichthys,11.4,12.0,13.2,2.2044,1.1484,9.8
Cheilopogon,37.0,40.0,42.4,12.3808,7.4624,1015.0
Prognichthys,23.6,26.0,28.7,8.3804,4.2476,270.0
Cheilopogon,18.2,20.0,21.0,5.082,2.772,85.0
Cypselurus,27.6,30.0,35.1,14.0049,4.8438,450.0
Cypselurus,30.9,33.5,38.6,15.633,5.1338,610.0
Hirundichthys,10.1,10.6,11.6,1.7284,1.1484,7.0
Hirundichthys,13.8,15.0,16.2,2.9322,1.8792,19.9
Fodiater,30.0,32.3,34.8,5.568,3.3756,200.0
Cheilopogon,37.1,40.0,42.5,11.135,6.63,820.0
Exocoetus,21.0,22.5,25.0,6.55,3.325,140.0
Cheilopogon,30.5,32.8,34.0,10.03,6.018,514.0
Parexocoetus,23.0,25.0,28.0,11.088,4.144,273.0
Cypselurus,31.3,34.0,39.5,15.1285,5.5695,575.0
Cheilopogon,40.1,43.0,45.5,12.5125,7.4165,1100.0
Hirundichthys,13.2,14.3,15.2,2.8728,2.0672,19.7
Cheilopogon,25.0,26.5,28.0,7.168,4.144,218.0
Exocoetus,19.1,20.8,23.1,6.1677,3.3957,110.0
Cheilopogon,16.2,18.0,19.2,5.2224,3.3216,100.0
Cypselurus,38.0,41.0,46.5,17.6235,6.3705,950.0
Exocoetus,22.0,24.0,27.2,7.5344,3.8352,169.0
Cheilopogon,26.9,28.7,30.1,7.5852,4.6354,300.0
Parexocoetus,13.5,14.7,16.5,6.8475,2.3265,55.0
